epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.917,0.6999,1.53561,1.22951,0.9985,1,0.995,0.93266,0.3837,1.24417,0.80499,0.000548972,0.000548972,0.000548972
2,211.59,0.5702,0.85278,1.08228,0.99826,1,0.995,0.84685,0.54232,0.87557,0.91865,0.00108277,0.00108277,0.00108277
3,313.232,0.55553,0.71849,1.06543,0.93889,0.90373,0.9765,0.62346,1.32472,1.3849,1.68959,0.00159456,0.00159456,0.00159456
4,413.875,0.55217,0.64566,1.07022,0.99745,1,0.995,0.91311,0.42456,0.62787,0.8608,0.00156798,0.00156798,0.00156798
5,514.559,0.48794,0.54948,1.02547,0.99261,1,0.995,0.79149,0.67716,0.99675,1.05045,0.00153497,0.00153497,0.00153497
6,623.813,0.46459,0.49097,1.00737,0.99711,1,0.995,0.95799,0.37156,0.61308,0.78339,0.00150197,0.00150197,0.00150197
7,724.555,0.47068,0.44911,1.00348,0.99889,1,0.995,0.95087,0.31331,0.36333,0.70912,0.00146896,0.00146896,0.00146896
8,827.977,0.42917,0.40813,0.98366,0.9986,1,0.995,0.92547,0.38274,0.44122,0.81075,0.00143595,0.00143595,0.00143595
9,931.484,0.40979,0.38852,0.97022,0.99894,1,0.995,0.94336,0.33794,0.34499,0.7489,0.00140295,0.00140295,0.00140295
10,1033.42,0.39973,0.36781,0.96362,0.99881,1,0.995,0.97559,0.31499,0.36594,0.73996,0.00136994,0.00136994,0.00136994
11,1135.44,0.4027,0.37194,0.9664,0.99895,1,0.995,0.95327,0.35948,0.36301,0.75986,0.00133693,0.00133693,0.00133693
12,1239.81,0.37318,0.34864,0.95813,0.99419,1,0.995,0.92458,0.35116,0.30132,0.75874,0.00130393,0.00130393,0.00130393
13,1344.43,0.3524,0.33054,0.94721,0.99752,1,0.995,0.97385,0.2653,0.29997,0.68299,0.00127092,0.00127092,0.00127092
