epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.054,0.6999,1.53561,1.22951,0.9985,1,0.995,0.93266,0.3837,1.24417,0.80499,0.000548972,0.000548972,0.000548972
2,230.129,0.57583,0.85302,1.08753,0.99801,1,0.995,0.83188,0.64805,1.06003,1.06606,0.00108277,0.00108277,0.00108277
3,336.66,0.54217,0.70646,1.05658,0.89238,1,0.96026,0.85315,0.46725,0.78812,0.86895,0.00159456,0.00159456,0.00159456
4,445.073,0.55109,0.62144,1.0614,0.99832,1,0.995,0.91422,0.42037,0.62716,0.83644,0.00156798,0.00156798,0.00156798
5,553.6,0.49394,0.55161,1.03006,0.98025,0.97329,0.99388,0.9066,0.55505,0.8172,1.01949,0.00153497,0.00153497,0.00153497
6,666.835,0.48647,0.50097,1.01982,0.99821,1,0.995,0.95615,0.33246,0.42788,0.73112,0.00150197,0.00150197,0.00150197
7,773.668,0.45621,0.45014,1.00075,0.9989,1,0.995,0.84541,0.65049,0.63337,1.06873,0.00146896,0.00146896,0.00146896
8,882.106,0.42949,0.40963,0.98437,0.99889,1,0.995,0.97928,0.31981,0.35701,0.76608,0.00143595,0.00143595,0.00143595
9,999.456,0.40673,0.38952,0.96952,0.99894,1,0.995,0.93203,0.37736,0.38645,0.81071,0.00140295,0.00140295,0.00140295
10,1109.96,0.38524,0.36811,0.95865,0.9988,1,0.995,0.96383,0.28608,0.32182,0.6983,0.00136994,0.00136994,0.00136994
11,1218.65,0.38539,0.35872,0.95594,0.99896,1,0.995,0.97573,0.26527,0.30704,0.68933,0.00133693,0.00133693,0.00133693
12,1327.18,0.35728,0.33355,0.94632,0.99886,1,0.995,0.98217,0.26981,0.29214,0.69873,0.00130393,0.00130393,0.00130393
13,1445.09,0.34457,0.31457,0.94495,0.99893,1,0.995,0.93399,0.42229,0.42147,0.80927,0.00127092,0.00127092,0.00127092
14,1566.62,0.34716,0.30561,0.94326,0.99891,1,0.995,0.98572,0.26028,0.28731,0.69534,0.00123791,0.00123791,0.00123791
15,1699.52,0.34884,0.30792,0.95918,0.99886,1,0.995,0.95981,0.32384,0.29242,0.72701,0.00120491,0.00120491,0.00120491
16,1830.31,0.31985,0.28119,0.92751,0.99887,1,0.995,0.98415,0.27744,0.25039,0.70908,0.0011719,0.0011719,0.0011719
17,1938.65,0.31994,0.28468,0.92429,0.99892,1,0.995,0.96586,0.26714,0.22699,0.65621,0.00113889,0.00113889,0.00113889
18,2035.71,0.31666,0.28317,0.91816,0.99893,1,0.995,0.97746,0.2289,0.23578,0.64014,0.00110589,0.00110589,0.00110589
19,2144.29,0.3082,0.26541,0.92507,0.99886,1,0.995,0.99151,0.21372,0.24798,0.64246,0.00107288,0.00107288,0.00107288
20,2249.72,0.308,0.26497,0.90838,0.99885,1,0.995,0.98853,0.25416,0.23703,0.68783,0.00103987,0.00103987,0.00103987
21,2352.52,0.29481,0.26033,0.91278,0.99894,1,0.995,0.98805,0.21446,0.22345,0.63814,0.00100687,0.00100687,0.00100687
22,2455.21,0.2849,0.25576,0.91083,0.99883,1,0.995,0.99404,0.24474,0.27191,0.671,0.000973861,0.000973861,0.000973861
23,2557.29,0.29314,0.25358,0.92075,0.99894,1,0.995,0.99244,0.21994,0.20541,0.63178,0.000940855,0.000940855,0.000940855
24,2660.56,0.28432,0.24542,0.91345,0.99897,1,0.995,0.995,0.17371,0.19281,0.60535,0.000907848,0.000907848,0.000907848
25,2774.21,0.27543,0.23162,0.90001,0.99895,1,0.995,0.98713,0.20395,0.22234,0.62071,0.000874842,0.000874842,0.000874842
26,2891.74,0.26693,0.23153,0.90411,0.99895,1,0.995,0.98902,0.23869,0.18762,0.65391,0.000841835,0.000841835,0.000841835
27,3008.44,0.26296,0.22695,0.89179,0.99896,1,0.995,0.99287,0.20601,0.20014,0.6321,0.000808828,0.000808828,0.000808828
28,3127.6,0.25686,0.22237,0.89806,0.99896,1,0.995,0.9937,0.19729,0.21436,0.64051,0.000775822,0.000775822,0.000775822
29,3245.32,0.24905,0.22062,0.90212,0.99874,1,0.995,0.99027,0.2017,0.18828,0.63772,0.000742815,0.000742815,0.000742815
30,3366.22,0.24104,0.21274,0.89243,0.99896,1,0.995,0.98848,0.20827,0.20891,0.63939,0.000709809,0.000709809,0.000709809
31,3483.68,0.24281,0.20892,0.89324,0.99897,1,0.995,0.995,0.19237,0.18227,0.6427,0.000676802,0.000676802,0.000676802
32,3600.06,0.23711,0.20569,0.88628,0.99897,1,0.995,0.99137,0.18791,0.18983,0.64375,0.000643795,0.000643795,0.000643795
33,3713.13,0.22717,0.19834,0.87966,0.99895,1,0.995,0.99409,0.18645,0.19447,0.6221,0.000610789,0.000610789,0.000610789
34,3831.16,0.22746,0.19423,0.88697,0.99897,1,0.995,0.995,0.18677,0.19145,0.63583,0.000577782,0.000577782,0.000577782
35,3958.28,0.21975,0.19356,0.88725,0.99897,1,0.995,0.98956,0.20819,0.20365,0.64858,0.000544776,0.000544776,0.000544776
36,4085.89,0.21357,0.18912,0.8807,0.99898,1,0.995,0.995,0.17217,0.1562,0.61054,0.000511769,0.000511769,0.000511769
37,4216.42,0.21207,0.18595,0.87707,0.99897,1,0.995,0.995,0.15952,0.18457,0.61,0.000478762,0.000478762,0.000478762
38,4329.95,0.216,0.18748,0.88434,0.99897,1,0.995,0.995,0.17871,0.14899,0.61948,0.000445756,0.000445756,0.000445756
39,4432.18,0.20317,0.18267,0.87541,0.99898,1,0.995,0.995,0.16677,0.17349,0.6126,0.000412749,0.000412749,0.000412749
40,4534.22,0.19984,0.17575,0.87579,0.99898,1,0.995,0.995,0.15483,0.17533,0.59399,0.000379743,0.000379743,0.000379743
41,4635.54,0.18698,0.19234,0.84864,0.99895,1,0.995,0.995,0.19447,0.20108,0.64549,0.000346736,0.000346736,0.000346736
42,4736.11,0.17198,0.15586,0.84175,0.99898,1,0.995,0.995,0.17869,0.18136,0.60871,0.000313729,0.000313729,0.000313729
43,4837.94,0.17673,0.15344,0.86062,0.99897,1,0.995,0.995,0.18051,0.17568,0.63914,0.000280723,0.000280723,0.000280723
44,4938.41,0.16367,0.14673,0.83929,0.99898,1,0.995,0.995,0.13961,0.14148,0.59085,0.000247716,0.000247716,0.000247716
45,5039.2,0.15716,0.14233,0.84121,0.99899,1,0.995,0.995,0.14612,0.15589,0.59089,0.00021471,0.00021471,0.00021471
46,5138.51,0.1512,0.13549,0.83738,0.99898,1,0.995,0.995,0.13975,0.13985,0.58987,0.000181703,0.000181703,0.000181703
47,5239.01,0.14865,0.13189,0.82459,0.999,1,0.995,0.995,0.12759,0.13679,0.58505,0.000148696,0.000148696,0.000148696
48,5339.9,0.14256,0.12897,0.82781,1,1,0.995,0.995,0.13711,0.15036,0.58212,0.00011569,0.00011569,0.00011569
49,5439.81,0.13654,0.1218,0.81988,1,1,0.995,0.995,0.12485,0.14995,0.57595,8.26832e-05,8.26832e-05,8.26832e-05
50,5541.84,0.12735,0.11481,0.81354,1,1,0.995,0.995,0.12875,0.13496,0.57872,4.96766e-05,4.96766e-05,4.96766e-05
